caseid,birthyr,gender4,race,educ,region,ideo5,religpew,faminc_new,pid3,327a,327b,327d,330a,330b,330c,331a,331b,331d,332a,332b,332c,332d,332e,332f,332g,333a,333b,333c,333d,334a,334b,334c,334d,334e,334f,334g,334h,355a,355e
1240001285,B,B,A,C,D,A,I,I,A,A,A,A,B,B,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A
1236752993,B,A,A,B,B,B,B,G,A,A,A,A,A,A,B,A,A,B,A,A,B,B,B,B,A,A,B,A,A,A,A,A,B,A,A,B,A,A,A
1239899627,B,A,A,C,C,D,A,F,D,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,B,B,B,B,A,B,A,A,B,B,A,A,A,B,B
1237858373,B,A,A,D,C,E,A,I,C,B,A,A,B,A,A,B,A,A,B,A,B,A,B,B,B,B,B,B,B,B,B,A,B,B,B,A,A,B,B
1241838411,B,B,C,B,D,E,A,D,B,B,A,A,A,B,A,A,A,A,B,B,A,A,A,A,B,B,B,B,A,B,A,A,B,A,A,B,A,B,B
1247684153,D,A,A,E,C,D,B,M,B,B,A,A,B,B,A,B,A,A,B,A,A,A,B,B,B,B,B,B,A,B,A,A,B,B,A,B,B,B,B
1236785301,D,A,D,E,C,C,B,L,A,A,A,A,A,A,B,A,A,A,B,A,B,B,B,B,A,A,A,B,A,A,A,B,B,A,A,B,A,A,B
1256152997,C,A,A,E,B,D,A,L,B,B,A,B,A,B,B,B,A,A,B,A,A,A,A,B,A,B,B,B,B,B,A,B,B,B,A,B,A,B,B
1245599083,B,A,A,E,D,E,A,J,B,B,B,A,A,B,A,B,A,A,B,B,A,A,A,A,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B
1240377817,C,A,A,F,C,C,B,J,C,B,A,A,A,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,A,B,A,B,A,B,B,B,B,B
1237756843,D,A,A,D,C,C,J,L,C,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,A,A,A,A,A,A,B,B,A,B,A,A,B
1243370103,C,A,A,B,C,A,K,C,A,A,A,B,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,B,B,A,B,A,A,A
1239481679,B,B,A,B,B,C,I,E,C,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,A,A,B
1242844317,B,A,A,F,C,D,B,J,B,B,B,A,A,B,A,B,A,A,B,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,A,A,A,B,B
1242484613,B,B,A,C,C,D,C,E,B,A,A,B,A,B,B,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,A,B,A,A,B,A,A,B
1239736857,B,B,A,C,C,E,A,C,B,B,A,A,A,A,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,A,B,A,B,B
1239197169,A,B,A,B,D,B,I,G,A,A,A,A,A,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A
1232466975,C,B,A,E,D,A,I,A,C,A,A,A,A,B,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1242857791,C,A,A,C,C,E,B,G,B,B,A,A,A,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,A,A,A,B,B,B,B,A,B,B
1243836819,B,A,A,E,C,D,K,B,B,A,A,A,A,B,B,A,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,B,A,A,A,B,A,B,B
1249677517,D,A,A,C,D,A,I,K,A,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1238878425,C,A,F,B,C,C,L,A,C,B,A,B,A,B,A,A,A,A,B,B,A,A,A,A,B,B,B,B,A,A,A,A,B,B,A,B,A,B,B
1237531087,D,A,D,D,D,C,G,K,C,B,A,A,A,A,B,B,A,A,B,A,A,A,B,B,B,B,B,B,B,A,A,A,B,B,A,B,A,B,B
1239739863,C,A,B,B,A,B,J,B,A,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1238398129,A,B,A,B,B,C,B,H,B,A,A,B,A,A,B,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,A,B,B,B,A,A,B,A
1239681393,D,A,A,B,A,B,B,B,A,A,A,A,A,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A
1242451741,C,A,A,E,C,B,I,A,C,A,A,A,A,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1255877109,A,A,A,F,C,C,A,M,C,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A
1238594717,B,B,B,B,C,B,K,C,A,A,A,B,A,A,B,A,B,B,A,B,A,B,B,B,B,B,A,B,A,A,A,B,B,A,A,B,A,A,B
