year,caseid,birthyr,gender4,sexuality,race,educ,comptype,votereg,inputstate,region,361,cit1,immstat,urbancity,ideo5,child18,employ,investor,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,marstat,union,unionhh,ownhome,newsint,faminc_new,milstat_1,milstat_2,milstat_3,milstat_4,healthins_1,healthins_2,healthins_3,healthins_4,healthins_5,healthins_6
24,1238679123,2,1,1,1,5,3,1,27,2,6.0,1.0,5,1,1,2,1.0,2.0,2,4,6.0,7,12,1,3,1,1,1,9,2,2,2,1,1,2,2,2,2,2
24,1237399907,3,1,1,1,2,1,1,48,3,2.0,1.0,5,2,5,2,1.0,2.0,2,2,6.0,5,1,1,3,3,1,1,9,2,2,2,1,1,2,2,2,2,2
24,1242966839,3,2,1,1,2,3,1,53,4,5.0,1.0,5,2,4,2,5.0,2.0,2,1,2.0,2,3,1,2,3,1,3,9,2,2,2,2,2,2,2,1,2,2
24,1240556239,2,2,1,1,5,3,1,21,3,6.0,1.0,1,2,4,2,5.0,2.0,1,2,4.0,1,11,1,3,3,2,1,9,2,2,2,1,1,2,2,2,2,2
24,1234894881,3,2,1,1,5,1,1,48,3,5.0,1.0,5,2,1,2,5.0,1.0,2,1,6.0,1,12,1,1,1,1,1,97,2,1,2,1,1,2,2,2,2,2
24,1242014595,3,1,1,1,2,1,1,21,3,6.0,1.0,4,3,5,2,1.0,2.0,1,1,2.0,1,1,1,3,3,1,2,8,2,2,2,2,1,2,2,2,2,2
24,1255813355,2,1,1,1,6,3,1,5,3,6.0,1.0,5,1,3,2,5.0,1.0,2,2,4.0,2,7,1,3,3,1,1,10,2,2,1,1,2,1,2,2,2,2
24,1240404095,3,1,1,1,5,3,1,51,3,6.0,1.0,5,1,3,2,1.0,1.0,2,3,5.0,3,2,5,3,3,2,1,12,2,2,2,1,1,2,2,2,2,2
24,1238977205,1,2,1,1,6,3,1,39,2,6.0,1.0,5,1,3,2,5.0,2.0,2,1,1.0,2,2,5,2,2,2,2,5,2,2,2,1,2,1,2,2,2,2
24,1240431435,2,2,1,1,6,1,1,27,2,6.0,1.0,5,2,2,2,5.0,1.0,2,2,3.0,2,1,1,2,1,1,1,8,2,2,2,2,1,1,2,2,2,2
24,1236680891,3,1,1,2,3,3,1,13,3,6.0,1.0,5,4,4,2,1.0,2.0,1,1,2.0,1,11,1,3,3,1,2,97,2,1,2,2,1,2,2,2,2,2
24,1240428741,2,2,1,1,4,3,3,6,4,6.0,1.0,4,1,3,2,5.0,1.0,2,3,7.0,8,11,5,3,3,2,1,97,2,2,2,2,2,1,2,2,2,2
