,caseid,community,match_rate
612,1239629327,10,0.8
613,1255909501,6,1.0
614,1243566585,1,1.0
615,1240491703,4,1.0
616,1237604039,3,1.0
617,1236536513,10,1.0
618,1238394797,10,1.0
619,1239038609,4,1.0
620,1243874977,5,1.0
621,1236986367,9,0.9
622,1237206511,6,1.0
623,1239735701,0,0.9
624,1234996097,9,1.0
625,1239421755,12,1.0
626,1242481159,9,0.9
627,1234693501,8,1.0
628,1240027585,6,1.0
629,1242390371,6,1.0
630,1237524657,8,1.0
631,1250987613,8,1.0
632,1235323831,2,1.0
633,1238332091,9,1.0
634,1234831353,5,1.0
635,1241983773,7,1.0
636,1237364657,6,1.0
637,1257099773,2,1.0
638,1242479325,5,1.0
639,1235492891,7,1.0
640,1237888493,5,0.9
641,1235239975,13,1.0
642,1243837723,15,0.9
643,1237119701,12,1.0
644,1239044017,6,1.0
645,1238631701,13,0.9
646,1246808679,11,1.0
647,1238382397,3,1.0
648,1239519927,11,1.0
649,1236892877,4,1.0
650,1236987093,12,1.0
651,1238453727,9,1.0
652,1242134923,6,1.0
653,1238294069,6,0.9
654,1235705147,6,1.0
655,1243472219,8,1.0
656,1237654653,1,0.8
657,1247693265,7,1.0
658,1236782635,8,1.0
659,1237025421,9,0.9
660,1234991651,8,1.0
661,1239117865,12,1.0
662,1239060523,2,1.0
663,1238287551,6,1.0
664,1236755525,3,1.0
665,1232703513,3,1.0
666,1237559847,9,1.0
667,1242452089,2,1.0
668,1233558897,5,1.0
669,1242525323,10,1.0
670,1239584163,9,1.0
671,1239361423,15,1.0
672,1239704651,13,0.9
673,1237167205,3,1.0
674,1239360145,2,1.0
675,1242644935,5,1.0
676,1237329331,3,1.0
677,1235066425,14,0.9
678,1237657003,5,
679,1244694863,13,1.0
680,1236749311,9,1.0
681,1235065665,1,1.0
682,1237160945,5,1.0
683,1239038783,0,0.9
684,1243294029,7,1.0
685,1235323655,10,
686,1236552151,11,1.0
687,1236332691,5,1.0
688,1246083023,8,
689,1235810073,8,1.0
690,1242430643,11,1.0
691,1250715531,10,1.0
692,1239000903,4,1.0
693,1232616063,2,1.0
694,1236986233,7,1.0
695,1242133211,8,1.0
696,1243008055,7,1.0
